dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.991584,5.189157,1.938000,1.700000,0.000000,0.000000,0.033040
0.020000,3.025564,5.190335,1.972000,1.700000,0.000000,0.000000,0.036267
0.020000,3.059540,5.191624,2.006000,1.700000,0.000000,0.000000,0.039589
0.020000,3.093511,5.193027,2.040000,1.700000,0.000000,0.000000,0.043005
0.020000,3.127476,5.194548,2.074000,1.700000,0.000000,0.000000,0.046517
0.020000,3.161437,5.196190,2.108000,1.700000,0.000000,0.000000,0.050123
0.020000,3.195391,5.197956,2.142000,1.700000,0.000000,0.000000,0.053825
0.020000,3.229338,5.199849,2.176000,1.700000,0.000000,0.000000,0.057622
0.020000,3.263278,5.201873,2.210000,1.700000,0.000000,0.000000,0.061514
0.020000,3.297209,5.204031,2.244000,1.700000,0.000000,0.000000,0.065502
0.020000,3.331132,5.206325,2.278000,1.700000,0.000000,0.000000,0.069584
0.020000,3.365044,5.208760,2.312000,1.700000,0.000000,0.000000,0.073763
0.020000,3.398947,5.211338,2.346000,1.700000,0.000000,0.000000,0.078036
0.020000,3.432837,5.214062,2.380000,1.700000,0.000000,0.000000,0.082406
0.020000,3.466715,5.216936,2.414000,1.700000,0.000000,0.000000,0.086870
0.020000,3.500580,5.219963,2.448000,1.700000,0.000000,0.000000,0.091430
0.020000,3.534431,5.223146,2.482000,1.700000,0.000000,0.000000,0.096084
0.020000,3.568266,5.226487,2.516000,1.700000,0.000000,0.000000,0.100834
0.020000,3.602085,5.229992,2.550000,1.700000,0.000000,0.000000,0.105678
0.020000,3.635887,5.233661,2.584000,1.700000,0.000000,0.000000,0.110616
0.020000,3.669669,5.237499,2.618000,1.700000,0.000000,0.000000,0.115649
0.020000,3.703432,5.241509,2.652000,1.700000,0.000000,0.000000,0.120776
0.020000,3.737174,5.245693,2.686000,1.700000,0.000000,0.000000,0.125995
0.020000,3.770893,5.250055,2.720000,1.700000,0.000000,0.000000,0.131308
0.020000,3.804588,5.254597,2.754000,1.700000,0.000000,0.000000,0.136714
0.020000,3.838258,5.259324,2.788000,1.700000,0.000000,0.000000,0.142211
0.020000,3.871901,5.264236,2.822000,1.700000,0.000000,0.000000,0.147800
0.020000,3.905516,5.269338,2.856000,1.700000,0.000000,0.000000,0.153480
0.020000,3.939101,5.274633,2.890000,1.700000,0.000000,0.000000,0.159250
0.020000,3.972655,5.280123,2.924000,1.700000,0.000000,0.000000,0.165109
0.020000,4.006176,5.285810,2.958000,1.700000,0.000000,0.000000,0.171056
0.020000,4.039662,5.291699,2.992000,1.700000,0.000000,0.000000,0.177092
0.020000,4.073111,5.297790,3.026000,1.700000,0.000000,0.000000,0.183214
0.020000,4.106523,5.304088,3.060000,1.700000,0.000000,0.000000,0.189421
0.020000,4.139895,5.310595,3.094000,1.700000,0.000000,0.000000,0.195714
0.020000,4.173224,5.317313,3.128000,1.700000,0.000000,0.000000,0.202090
0.020000,4.206510,5.324245,3.162000,1.700000,0.000000,0.000000,0.208548
0.020000,4.239750,5.331393,3.196000,1.700000,0.000000,0.000000,0.215087
0.020000,4.272942,5.338759,3.230000,1.700000,0.000000,0.000000,0.221707
